comment,time
"Avoid Unilodge if you can help it\n\nI want to pre-warn parents who are thinking of using Unilodge accommodation for their child going into first year- just to share my experience. Mine is doing first year at University of Canberra and is in a Unilodge room there. When they initially send you a contract to sign for the lease of a room, it says that it ends on 31 Dec. When we signed, we thought end of of Semester 2 exams must end in mid-December for them to have a option of 31 Dec end date for the lease. But then now, the exams timetable were scheduled last month with the last exam taking place on 14 Nov. Which means from 15 Nov, interstate students can go back home to their families. Now parents like us have asked Unilodge to allow us to have an early lease contract termination - with incomes reduced this year from COVID-19, it makes sense that it will be huge burden to continue paying for an empty room for another 6 weeks till the 31 Dec. But Unilodge won't budge from their policy that early termination can only happen in the event of a death- the occupant, or a bereavement which requires the occupant to leave early. One of the conditions for early termination as well is that we must find someone to take over the lease- who must be enrolled in a course, who must be from UC or ANU..In an ideal year, that would have been easier. But when COVID-19 hit, and classes went online, we haven't been able to find anyone who wants to move in and stay in an empty university campus from 01 -31 Dec- Unlike banks, who were willing to change their loan terms and defer repayments, or the rental board putting a stay on eviction - where people occupy a house and don't pay rent - Unilodge insists on people paying rent still for a place they no longer occupy. They have no sense of social responsibility or sense of business goodwill, for parents whose kids will be back in Year 2. We won't be using them again, and will recommend the same to others. It would be best to only opt for them if you are really desperate for accommodation.","Nov 4, 2020"
"DISGUSTING\n\nDISGUSTING. UNILODGE Broadway Sydney.\nHORRIBLE RUDE STAFF. Dont expect them to be nice to me, but please hire someone to solve problem, not to create problem. THANKS.\nWORST STUDENT ACCOMMODATION EVER.","Oct 3, 2020"
"Theres no noise curfew\n\nIdeally, I pay $388 a fortnight to be subject to all the rules set out in the contract. These rules are hardly enforced. There is no security or anyone to enforce the rules. The rules are only enforced when someone reports it.\n\nThe noise restriction is a massive lie. If im paying to stay here I expect to get what I was promised - a noise curfew. If you have a job you care for, dont live here.\n\nIf youre respectable enough to be looking at reviews before living here, youre good enough to not be living here. Ive havent seen such immature people in my life since high school and I left 6 years ago. Absolute joke of a company for not kicking out repeat offenders either.","Updated Sep 29, 2020"
"I had the worst experience ever!\n\nI had the worst experience ever with Unilodge Southbank and I still have , because I can’t break my lease.\nI know that by posting this review, people at the front desk would treat me worse than before, but I have to do this to prevent students from falling in this big trap and not waste their time, money, and grades!\nI moved to Unilodge because this was the only option for me with a flexible rent date and near the place where I am studying. I moved to a bunk studio cause this was the only room that I could afford (209 weekly for 47 weeks). I'm not going to lie, the first day I came for a tour, I enjoyed their company because the woman who showed me the room was helpful and friendly, I said okay! Friendly people, polite and always smiling, seems like a nice place, right? WRONG!\nYou think the first thing that student accommodation should provide is the internet, right? I have an internet connection problem for 2.5 months now. I discussed it with them 5 times, even though I reached their internet provider, but nothing changed until now!\nNow I \"SURPRISINGLY\" got deleted from their event app, I signed up for their events. Still, it seems like my account \"AUTOMATICALLY\" got deleted. No one could fix it in these 2 weeks that I discussed it with them, not to mention I got removed from all the events, and I can't participate in any of them now.\nAnother thing that bothered me so much staying here is that THEY OPEN YOUR DOOR AND THEY JUST WALK IN. They say it's for room check (when your room doesn't have any problem) the first time this happened was the first week that I moved here, I was sleeping till 10am because I stayed up all night working on my assignment then I heard that someone opened my room and walked in! Imagine this! You don't have any privacy here. This happened 5 more times till now, and today was the most recent one. I heard the bip sound, which is the card opening the room, and then he just walked into the room, I told him please stay outside. I will open the door for you, then he told me he wants to check the room because someone is moving here in 2 days! NO ONE TOLD ME ABOUT IT, NO ONE EMAILED ME ABOUT IT, BUT THEY SHOULD!\nIt was suitable for the first 2 months, then suddenly covid19 attacked, during the first week of the outbreak, while QLD was reaching 70 positive tests daily, they said they're going to send a roommate to my room, I talked to them and begged them because of my breathing problem, please don't put her in my room or at least give her a room for 14 days, quarantined, then let her to my room. They never listened and acted so rude to me and made me cry, so I gave up talking to them and went to rent the Emperium Hotel for a month, to keep myself safe. After that, I came back and saw 3 big bags sitting in my room, without a roommate, a week later, when I wasn't home, someone came and took the bags, went to the front desk and asked them if my roommate canceled or not? They said they don't know! Two weeks later someone came to the room and asked for my roommate (whom I never met) I told them that I already told you that she's not in the room. Then a week later, they discovered she left without paying a single week! I told them what if something from my room went missing? What if she stole my money or laptop? They simply didn't care!\nPeople at the front desk are always rude to me. I don't know if it's because I got their cheapest room or because I am international, but please, please, if you are an international student. You care about your studies, never move to Unilodge, because they will always make challenges for you to solve. At some points, you can't do both if you are working, you want a place to rest and study, not a place that always makes you uncomfortable and insecure.","Aug 14, 2020"
"RIPOFF FOR THE DIRTIEST STUDENT PLACE…\n\nRIPOFF FOR THE DIRTIEST STUDENT PLACE EVER\n\ncost me 395 AUD per week (250$ base rent+50$ short stay+ (150$/2 weeks) cleaning fees + 20$ parking), which is twice as much as the market price for a student bedroom in Brisbane.\n\nBATHROOM: unflushed toilets, broken toilet seat, fecal traces everywhere, shower curtains yellowed by dirt, strong smell\nKITCHEN: traces of oil and food remains in cooking stoves and around, rubbish on the floor, plastic bottles and plastic bags all over the place, unwashed cooking appliances plugged and directly on the floor\n\nTo cheat guests, they show you a nice \"model unit\" which has nothing to compare with the hog house (according to any international standards) that you'll be staying in. Covid-19 is the \"excuse\" for you not to be allowed to check the real premises. So once you've signed up tons of contracts and papers, where they \"cut and paste\" your signature and make ticks in every pages and every check-in detail, you may realize the irony and the fraud:\n\nThe actual place is disgusting. I have voiced out my disgust every single day to the staffs at counters and by e-mail. They fixed the toilet seat and anticipated the bi-weekly cleaning by 24hrs, but then, UniLodge Management (Georgia A., Dylan W.) believe they \"did what they have to do\" (ironic). They yet have the nerves to try to charge you 150$ for cleaning fees --or you can do it yourself with accredited cleaning company and buy UniLodge a new mattress cover and a new shower curtain (no kidding!!).\n\nAfter 1 week in this disgusting environment, and many e-mails about the lack of hygiene, Michelle S. finally answered that - as a favor-, her supervisor was agreeing to allow my early departure (because the place is disgusting and doesn't justify 395$/week). But it's only at the very last moment of the checkout, when i remitted the key, that they announced me the unused second week of my tenancy in UniLodge Brisbane Park Central was being cashed-in by UniLodge whether i'm staying there or not. Please contact me if you wish to know or see more about the real UniLodge condition, hygiene, care and safety.","Updated Aug 13, 2020"
"Horrible staff who don’t care\n\nHorrible RUDE staff, useless and will not help you at all. Rooms are tiny and are not well maintained.\n\nDo not stay here, stay at SCAPE or StudentOne.","Aug 4, 2020"
"Unilodge illegal coronavirus\n\nIsent my daughter to stay with unilodge during coronavirus and they way they handled it is disgusting. My daughter was not allowed to have any visitor in the building even her parents but there are staff coming in every day bringing the virus into the building and putting everyone in danger!!! My daughter asked one of the staff if she could have a meeting with her (apparently this person in charge of welfare!!!) and she said that they were only doing zoom. Then why are they coming into the building every day and I am not allowed to have dinner with my daughter,?? If only doing zoom meetings then why not work from home?? Unilodge is illegal and dangerous and should be sending staff in VICtoria home like everyone else and letting my daughter have the welfare she needs by seeing me","Jul 7, 2020"
"I had the worst experience with…\n\nI had the worst experience with UniLodge. Due to Covid-19 I had financial issues. They told they'd help but never did. Then when I tell them I'm going to stay with friends and would like to move out, they ask for my whole bond and claim to not take more money if I'd transfer my bond. After moving out, I get mails every week where they ask me to pay money for miscellaneous stuff and are least considerate and rude. Has got to be the worst experience ever. PLEASE do not make the mistake I made. Worst services and worst staff.","May 13, 2020"
"What could I say about Unilodge\n\nWhat could I say about Unilodge ? If you like having problems weeks before arriving and after leaving, it's the good place to stay. I won't name all the issues I had during my 10 weeks stay in Unilodge City Gardens in Adelaide but to explain the biggest ones: rude and very unsympathetic crew, way too expensive accomodation (actually I think it's the most expensive I could end up with in Adelaide... a proof that expensive doesn't mean \"of good quality\")... And last but not least, I won't get my 2400AUD back because of administrative failure from Unilodge... To sum up, I would really advise you NOT to book anything with Unilodge at all, very unprofessional.","Mar 23, 2020"
"Faaaaaaaaaaaaaaarrrrrrrrk","Feb 7, 2020"
